상품코드,상품,ABC,단품가로(mm),단품세로(mm),단품높이(mm),중량(g)
802980111116,히말라야 핑크솔트,B,60,71,38,135
6261108117326,샤프란 향신료 20g,A,64,94,91,8
5285001951833,Elegance Plus Shaving Gel 500ml,C,64,49,31,88
8000070021341,원두커피: 3. 라바짜 그란에스프레소,A,91,20,23,44
VD-MT-002,악역의 엔딩은 죽음뿐 마스킹 테이프 vol.2,A,15,53,64,24
0081010,PET BED-Grey 385,B,42,58,79,161
8809764510020,(1매) 프리스틴 KF94 마스크(새부리형/화이트),A,37,68,54,292
O2SBSD39130XXX,벨 숄더_VANILLA CREAM,C,59,58,82,265
O0SBBC47009XXX,모르간 버킷 BLACK XXX,C,53,20,62,286
O0SBBC47009XXX,모르간 버킷 BLACK XXX,A,68,93,82,193
O1FBSD23147XXX,스파클 숄더 MUD PINK,B,20,60,23,73
O1FBSD23147XXX,스파클 숄더 MUD PINK,A,97,86,50,133
VD-CC-001,악역의 엔딩은 죽음뿐 컬렉팅카드 vol.1,C,37,5,89,42
8809079207219,더퓨어로터스 제주 보태니컬 선크림,C,86,43,55,83
8809079207219,더퓨어로터스 제주 보태니컬 선크림,C,61,64,49,70
8809079207219,더퓨어로터스 제주 보태니컬 선크림,B,85,83,69,171
2021071401,우도땅콩새싹차,A,6,3,42,103
0214-20,세트박스 (에센스&로션 / 샴푸 260ML 2종),A,58,83,67,290
O0SBSP62009XXX,램지 L 쇼퍼 BLACK XXX,B,30,31,10,26
O2SBCB10009XXX,코지 크로스바디+BLACK,B,31,63,99,222
O0FBBP06009XXX,엘리백팩BLACK,B,1,17,29,133
O1FBCB44009XXX,루키 LG 크로스바디 BLACK XXX,C,39,37,61,142
O1FBCB01009XXX,캐리 크로스바디 BLACK,C,78,18,69,52
O1FBBC37009XXX,리즈 버킷 BLACK,C,79,34,93,189
0210SET2,"크림세트B-크림 2,비누 1",B,30,88,79,178
0192-02,뚜껑(검정),B,53,90,73,86
8809375786487,십일장생 프로젝트(박스),A,45,82,24,215
MINI_DOT_24,미니도트_24,C,92,46,80,93
86542258,중급한자1,B,92,13,79,140
O0FBCB43048XXX,루키크로스바디 CLOUD,C,44,66,55,89
O0FPAC12002XXX,금속체인 토트 스트랩_SILVER,B,67,93,28,201
s0024,마이 애사비 라인 핏 구미,B,93,9,14,66
GNGHRTR003-V01,고잉그레이 트리트먼트 블루문네이비,A,37,77,4,198
8809465970307,은가비 감귤과즐,A,34,91,86,140
