,상품코드,상품,ABC,단품가로(mm),단품세로(mm),단품높이(mm),중량(g)
0,802980111116,히말라야 핑크솔트,B,60,71,38,135
1,6261108117326,샤프란 향신료 20g,A,64,94,91,8
2,5285001951833,Elegance Plus Shaving Gel 500ml,C,64,49,31,88
3,8000070021341,원두커피: 3. 라바짜 그란에스프레소,A,91,20,23,44
4,VD-MT-002,악역의 엔딩은 죽음뿐 마스킹 테이프 vol.2,A,15,53,64,24
5,0081010,PET BED-Grey 385,B,42,58,79,161
6,8809764510020,(1매) 프리스틴 KF94 마스크(새부리형/화이트),A,37,68,54,292
7,O2SBSD39130XXX,벨 숄더_VANILLA CREAM,C,59,58,82,265
8,O0SBBC47009XXX,모르간 버킷 BLACK XXX,C,53,20,62,286
9,O0SBBC47009XXX,모르간 버킷 BLACK XXX,A,68,93,82,193
10,O1FBSD23147XXX,스파클 숄더 MUD PINK,B,20,60,23,73
11,O1FBSD23147XXX,스파클 숄더 MUD PINK,A,97,86,50,133
12,VD-CC-001,악역의 엔딩은 죽음뿐 컬렉팅카드 vol.1,C,37,5,89,42
13,8809079207219,더퓨어로터스 제주 보태니컬 선크림,C,86,43,55,83
14,8809079207219,더퓨어로터스 제주 보태니컬 선크림,C,61,64,49,70
15,8809079207219,더퓨어로터스 제주 보태니컬 선크림,B,85,83,69,171
16,2021071401,우도땅콩새싹차,A,6,3,42,103
17,0214-20,세트박스 (에센스&로션 / 샴푸 260ML 2종),A,58,83,67,290
18,O0SBSP62009XXX,램지 L 쇼퍼 BLACK XXX,B,30,31,10,26
19,O2SBCB10009XXX,코지 크로스바디+BLACK,B,31,63,99,222
20,O0FBBP06009XXX,엘리백팩BLACK,B,1,17,29,133
21,O1FBCB44009XXX,루키 LG 크로스바디 BLACK XXX,C,39,37,61,142
22,O1FBCB01009XXX,캐리 크로스바디 BLACK,C,78,18,69,52
23,O1FBBC37009XXX,리즈 버킷 BLACK,C,79,34,93,189
24,0210SET2,"크림세트B-크림 2,비누 1",B,30,88,79,178
25,0192-02,뚜껑(검정),B,53,90,73,86
26,8809375786487,십일장생 프로젝트(박스),A,45,82,24,215
27,MINI_DOT_24,미니도트_24,C,92,46,80,93
28,86542258,중급한자1,B,92,13,79,140
29,O0FBCB43048XXX,루키크로스바디 CLOUD,C,44,66,55,89
30,O0FPAC12002XXX,금속체인 토트 스트랩_SILVER,B,67,93,28,201
31,s0024,마이 애사비 라인 핏 구미,B,93,9,14,66
32,GNGHRTR003-V01,고잉그레이 트리트먼트 블루문네이비,A,37,77,4,198
33,8809465970307,은가비 감귤과즐,A,34,91,86,140
34,O0FBBP06009XXX,엘리백팩BLACK,A,30,22,23,138
35,9BDS0000310,그란디디에 다즐링홍차 브라이트닝에센스146ML,C,99,30,72,55
36,8809764510037,(1매) 프레쉬힐 KF94 마스크(새부리형/블랙),B,92,19,46,161
37,8809764510037,(1매) 프레쉬힐 KF94 마스크(새부리형/블랙),C,45,38,64,113
38,8802863124525,제이엠셀레늄아연,C,56,68,92,238
39,8809133684932,길라 프리미엄 사프란 콜라겐,A,61,37,39,85
40,8809079203426,더퓨어로터스 제주 보태니컬 pH 밸런싱 클렌저,C,54,21,43,49
41,RM212S002IV250,RM212S002IVORY,A,86,90,99,190
42,8809738603505,드 메모리아 #01 스펠로 ,C,44,78,75,273
43,SFWJPO01,부먹찌먹탕수육 팝콘색,B,83,41,69,247
44,2111DK000,옛새 디스커버리 키트(샘플),B,60,38,59,189
45,snfacvt06,사노핏 애플사이다비니거 포스트바이오틱스 6개월 분(1입),B,14,93,74,139
46,O1SBBC70009XXX,마들렌 버킷 BLACK XXX,B,1,29,73,283
47,O0FBCB43059XXX,루키크로스바디ORANGE,B,70,78,94,138
48,0137-99,철제바구니,B,91,74,66,100
49,8809990414840,핸들 스트랩 노트북 파우치 M 피넛,C,30,94,20,169
50,8809563706105,KMC크린에이디비말마스크(50매),B,84,68,20,153
51,10003020001,oversized linen jacket-skyblue-S,B,75,27,3,166
52,O1FBCB37231XXX,리사 크로스바디 DEEP GREEN,A,41,17,14,282
53,8809990340248,세탁세제(유아용-유향),A,60,53,78,200
54,8809990116430,알라뷰티 청열 약수크림,B,41,20,62,177
55,O0FBCB43141XXX,루키크로스바디 LEAF OLIVE,A,64,26,69,270
56,GNGHRTR003-V01,고잉그레이 트리트먼트 블루문네이비,A,83,88,72,296
57,8809393501130,프루낵 다크 초코 20개입,C,64,70,34,169
58,Sweatshirts Brown=M,Ballon Sweatshirts (Brown)(사이즈=M),A,39,36,53,33
59,0159-002,모카 머그컵,A,39,76,44,105
60,O8FCTS150030FR,SPANGLE POINT T-SHIRT IVORY 0FR,C,27,34,44,144
61,2101NF011,옛새 누드인포그 오 드 퍼퓸 11ML,C,30,87,59,5
62,8809375786487,십일장생 프로젝트(박스),A,94,64,29,11
63,8809990325115,까미모 헤어로스 프로페셔널 워터 트리트먼트,C,67,29,48,16
64,2111DK000,옛새 디스커버리 키트(샘플),A,73,67,17,112
65,O2SBCB10009XXX,코지 크로스바디+BLACK,B,28,54,34,38
66,O2SBCB10009XXX,코지 크로스바디+BLACK,C,20,6,31,119
67,O0FBCB43009XXX,루키크로스바디 BLACK,A,34,64,10,201
68,2111DK000,옛새 디스커버리 키트(샘플),A,8,56,34,281
69,86542258,중급한자1,A,4,34,39,279
70,O0FBCB43141XXX,루키크로스바디 LEAF OLIVE,B,94,7,28,215
71,O0FBCB43004XXX,루키크로스바디 CREAM,C,33,72,84,280
72,8809764510020,(1매) 프리스틴 KF94 마스크(새부리형/화이트),C,57,33,61,277
73,9BDS0000310,그란디디에 다즐링홍차 브라이트닝에센스146ML,A,25,3,15,87
74,O0FBCB43048XXX,루키크로스바디 CLOUD,A,53,69,14,104
75,CNLMUBL006-V02,돔-글 블러셔 #BR01 내추럴브론저,C,2,83,31,265
76,8809990340248,세탁세제(유아용-유향),B,40,32,36,134
77,2111DK000,옛새 디스커버리 키트(샘플),A,87,7,21,231
78,802980111116,히말라야 핑크솔트,C,51,80,32,19
79,8803074070212,제주특산 한라봉차,A,81,95,86,51
80,8809990325108,까미모 헤어로스 프로페셔널 샴푸,A,51,74,41,133
81,O1FBTT55009XXX,벨라 토트 BLACK,C,41,79,24,276
82,O1SBBC02009XXX,테일러버킷 BLACK,B,65,19,22,168
83,O1SBBC70009XXX,마들렌 버킷 BLACK XXX,A,14,17,85,268
84,O2SBCB10009XXX,코지 크로스바디+BLACK,C,48,96,83,263
85,O2SBCB10009XXX,코지 크로스바디+BLACK,C,15,43,33,257
86,O1FBBC16130XXX,셀레나 버킷 VANILLA CREAM,B,15,16,40,181
87,snfacvt02,사노핏 애플사이다비니거 포스트바이오틱스 2개월 분,B,43,90,42,275
88,72SQ-010114,"포인트앤뷰 개인정보 보호필름 14"" W9",B,74,90,34,291
89,8809393501017,프루낵 화이트 초코 20개입,B,44,21,32,281
90,8809393501017,프루낵 화이트 초코 20개입,C,64,63,12,88
91,0057-01,EVA 폼롤러 45*8,A,44,67,96,230
92,O0FPAC23231XXX,마이크로 로티DEEP GREENXXX,A,17,37,60,219
93,8801121025932,[앨리슨]아몬드 브리즈 뉴트리플러스 식이섬유 190ml 24개입,B,43,72,68,68
94,8809823070250,루트백팩 피넛,A,21,57,77,117
95,O2SBTT58009XXX,델라 토트_BLACK,A,34,75,24,172
96,O0FBBP06009XXX,엘리백팩BLACK,A,25,98,9,263
97,O0FBCB43004XXX,루키크로스바디 CREAM,B,28,48,72,85
98,802980111116,히말라야 핑크솔트,A,23,86,16,43
99,8809375786487,십일장생 프로젝트(박스),A,57,61,5,299
100,2101VF011,옛새 벨벳포레스트 오 드 퍼퓸 11ML,B,49,81,30,128
101,8000070020108,원두커피: 1. 라바짜 탑클래스,A,88,87,58,145
102,O1SBSD10009XXX,미나 숄더 BLACK XXX,C,81,14,42,135
103,O1SBBC02009XXX,테일러버킷 BLACK,B,18,65,29,58
104,CMZ110496,쇠 흡착판,C,37,49,39,123
105,O2SBCB10009XXX,코지 크로스바디+BLACK,B,14,66,68,247
106,O0FBCB43009XXX,루키크로스바디 BLACK,A,40,16,11,103
107,O2SBCB10009XXX,코지 크로스바디+BLACK,B,94,25,10,215
108,O1FBCB20146XXX,엘레나 크로스바디 STONE GREY,A,44,39,23,175
109,O1FBTT43009XXX,아멜리아 토트 BLACK,C,34,29,75,212
110,O0FBCB43118XXX,루키크로스바디 TOFFEE TAN,C,83,50,24,60
111,0057-70,new 로고티 - 화이트,A,14,41,58,214
112,O0SBSP62009XXX,램지 L 쇼퍼 BLACK XXX,B,30,43,44,122
113,O0FBSP38009XXX,제이미 N 쇼퍼BLACK,A,15,26,86,157
114,s0029,사노그래프 컷앤아웃 애사비 구미,C,64,23,83,52
115,O1FBTT70009XXX,엘프나 토트 BLACK,B,65,33,43,153
116,CMZ110458,동물의 숲 곰,B,65,97,50,292
117,BGLMUMA003-V01,벨그림 스키니 컬 픽스카라 브라운,C,70,75,83,2
118,72SQ-021133,포인트앤뷰 스탠바이미  BLC 27인치,C,82,83,87,35
119,O0FBCB43009XXX,루키크로스바디 BLACK,C,52,10,34,231
120,8809563704637,길라 사프란 톤업 리페어 버블 토너,B,56,43,60,94
121,024463589469,후이펑 스리라차 大 793g,A,88,97,16,178
122,6261108117326,샤프란 향신료 20g,C,78,94,34,42
123,8809668703849,비타민C 포뮬러 7포,B,45,53,27,121
124,9BDS0000110,그란디디에 다즐링홍차 크림리추얼 80ML,B,45,26,57,138
125,86542258,중급한자1,B,15,2,96,131
126,8809990310715,청심청결 데일리 다목적 살균 세정제 ,C,19,85,87,22
127,72SQ-021133,포인트앤뷰 스탠바이미  BLC 27인치,A,44,82,8,125
128,NKPM6S537B0M130,"KA207PBI, M, 130",B,21,17,23,62
129,8809990340217,섬유유연제(다목적용),A,35,19,96,23
130,8809990340248,세탁세제(유아용-유향),C,43,75,94,175
131,86542258,중급한자1,C,22,44,99,29
132,Ballon Ball Cap (Red),Ballon Ball Cap (Red),C,14,50,55,156
133,VD-CC-001,악역의 엔딩은 죽음뿐 컬렉팅카드 vol.1,B,3,9,82,145
134,8809990325108,까미모 헤어로스 프로페셔널 샴푸,A,13,65,45,227
135,O0FBBP06009XXX,엘리백팩BLACK,C,30,44,44,56
136,O0FBCB43048XXX,루키크로스바디 CLOUD,B,79,11,22,32
137,8809079203426,더퓨어로터스 제주 보태니컬 pH 밸런싱 클렌저,C,63,17,28,247
138,NKPM5S540E0M14000,"K2005GRG, M, 140",A,89,15,28,19
139,86542258,중급한자1,B,3,99,25,188
140,O0FBSP38009XXX,제이미 N 쇼퍼BLACK,C,3,42,96,189
141,O2SBSD51009XXX,달리 숄더_BLACK,C,52,72,53,195
142,72SQ-021011,포인트앤뷰 거치형  BLC 24W9,C,84,45,7,21
