상품코드,상품명,ABC,단품가로(mm),단품세로(mm),단품높이(mm),중량(g)
O1FPAC03009XXX,QUEEN BLACK,C,3,96,8,283
Half Zip-up L-grey-L,Ballon Half Zip-up (L/grey)(사이즈=L),C,34,77,77,200
8809079208209,더퓨어로터스 제주 보태니컬 탈모 샴푸,B,22,99,91,44
5038234417,꽃잠 네이처 프리미엄 버진에센스,A,18,77,86,248
O0SGAC03000XXX,폭스폼폼,A,59,92,28,148
O0SSSS14009225,레이스 업 플레인 스니커즈 BLACK 225,B,29,72,99,141
O1SPPW13099XXX,제마 폰월렛 SKY BLUE XXX,B,35,96,36,284
5727DUL-003A,"베르벨라커버아트파운데이션팩트포커버레벨4,피치,,20,G",C,27,4,16,26
10014020003,[TA221VT53P] stitch slim vest-ivory-2,A,62,76,61,161
O9FBCB75110XXX,테일러 미니미 팝 크로스바디 RASPBERRY XXX,C,45,53,33,95
O0SBCB22019XXX,모르간 크로스바디 CARAMEL XXX,B,12,91,7,126
8809823070106,웨이브백 세로형 베이지,A,90,65,48,143
O1SBBC70009XXX,마들렌 버킷 BLACK XXX,C,57,77,86,165
7118409000001,공동체카드 스티커,A,96,8,96,58
CMZ110434,동물마을 쥐돌이,C,23,1,58,85
O1SBSD49009XXX,나디아 숄더 BLACK XXX,A,49,1,96,26
O0FSHT46009235,그리니 하이탑 스니커즈 BLACK,C,82,85,75,36
O2SBCB46149XXX,루키 크랙 크로스바디-BUTTER CREAM,C,50,85,15,246
9791195941162,치매를 위한 작업치료 중재 용어집,B,93,41,39,245
8809653771129,에어퀸 네오마스크(2매)(라이트 코랄)[낱장피킹],B,67,38,46,236
O8FCTS150230FR,SPANGLE POINT T-SHIRT NAVY 0FR,B,67,68,11,284
O9FCLW03023066,SUEDE LONG TRENCH COAT NAVY 066,A,93,65,28,252
NKPM6F835B50120,"KL530BXI, (50)Blue, 120",A,64,45,64,299
8809653771259,에어퀸 에센셜 생리대 슈퍼롱 8P,B,21,84,28,1
CMZ111264,귀엽냥,A,29,33,40,113
10012320001,[TA221JK01P] double breast stripe suit(jacket)-black-0,C,23,82,79,193
CP_HT,CP_하트,C,7,94,96,142
AB-COLF,CO_나뭇잎,A,34,80,36,192
8809738595817,길라 플랜트 세럼 클렌저 위드 사프란 익스트렉트,C,16,88,59,242
O2SPLP16009XXX,맨디 2단 장지갑+BLACK,B,83,9,4,101
CMZ110663,강아지양고기사료,C,78,12,25,266
O0FBCB82004XXX,로티 크로커 크로스바디CREAM,C,64,50,48,273
O1FBCB20146XXX,엘레나 크로스바디 STONE GREY,A,65,19,78,86
CMZ110182,캔디실 막대봉,A,82,87,44,205
CMZ110458,동물의 숲 곰,C,44,14,11,267
O1FPLP15145XXX,데카 1단 장지갑 WAVY BLUE,B,78,1,48,201
O0FBTT84009XXX,로티 새들 토트BLACKXXX,B,2,45,24,33
5287000234511,Elegance Styling Paste Matte Finish 140ml,C,94,6,16,49
8809823070298,다이어리 블랙,B,73,6,82,57
8809309727050,제이엠아르기닌4000,B,60,81,48,228
snfacvt06,사노핏 애플사이다비니거 포스트바이오틱스 6개월 분(1입),C,85,68,66,24
8809653770580,브레스 라이너,B,63,97,29,70
CMZ111531,크라프트 지퍼스탠드5호,B,27,13,94,118
COLOR_TRANS,색칠북_운송,A,71,20,20,45
DOTCP5_5,도트 칼라색칠도안 5종 5매(8절) ,A,46,42,88,11
O0FPAC15004XXX,아크릴체인 토트 스트랩,C,51,46,60,123
RM211S001GN240,마텔 프린트 패턴,B,9,29,81,200
7118409000006,토킹피스 하트(레드),B,62,60,55,289
RM204J007RD,아무르 크리스탈 넥크리스(레드) RED_F,A,33,52,20,112
CMZ110489,고양이 윈도우 해먹4,C,34,75,41,294
900081,CB_사자,A,72,37,86,250
10012320001,[TA221JK01P] double breast stripe suit(jacket)-black-0,B,85,76,68,24
8809733531049,"포인트앤뷰 지문방지 AFG_BLC 룸앤티비 27""W9",A,53,45,99,47
8809653771129,에어퀸 네오마스크(2매)(라이트 코랄)[낱장피킹],A,76,63,40,209
8809823070250,루트백팩 피넛,A,79,47,33,79
0161-010,"켄싱턴 마스터카톤 M [15.4""~17.3""인치]",C,13,99,31,274
8809733531032,"포인트앤뷰 지문방지 AFG_BLC 스탠바이미 27""W9",A,30,83,94,239
900083,CB_기린,B,99,72,41,278
2110GB000,옛새 기프트백(쇼핑백),C,79,56,93,244
8809668703849,비타민C 포뮬러 7포,C,58,2,93,49
O0FPAC05072XXX,솔리드 야니랩WINE,A,17,1,22,31
erg_lucky_paint, 럭키박스_물감세트 ,A,11,24,5,237
CMZ0076,접이식 욕조 (온도측정 노랑),A,38,31,91,169
O2SBCB10009XXX,코지 크로스바디+BLACK,B,59,71,82,67
O8FBCB21043XXX,제라드 크로스바디 SMOKY GREEN XXX,A,55,49,35,254
Half Zip-up L-grey-L,Ballon Half Zip-up (L/grey)(사이즈=L),B,41,47,25,160
RM204P0252PK,플로럴 앤 도트 노쇼삭스 2PK(네온/네이비) BLUE/NAVY_F,B,42,61,66,9
8809664630101,베르벨라 다이아몬드 퍼프 시그니처 포 블랙(국내용),A,32,61,52,10
s0012,사노핏 몽모랑시 타트체리,B,28,96,75,56
AB-CBHT,CB_하트,B,16,1,68,151
O2SBSD14009XXX,아미 숄더_BLACK,C,18,78,41,139
VD-ST-001,악역의 엔딩은 죽음뿐 반투명 프레임 스티커 vol.1,B,38,67,47,283
O2SBTT13009XXX,아미 토트_BLACK,C,2,7,76,285
COLOR_SEA,색칠북_바다동물 ,C,14,88,53,187
OCMSKCR001-V02,오캄 유자 하이드라 멀티 젤크림,A,96,3,97,211
8809990116409,생어성초 어썸에센스,A,25,72,54,217
ADLSKCR001-V01,엘드라뽀 쓰리 세컨 루미너스 크림,C,11,32,1,147
9791197250880,유하다요기초일본어3,C,38,54,76,279
O9FHLW0808100M,LOOSE FIT LEATHER SHIRTS CAMEL 00M,C,90,17,40,199
900004,워터페인트 120ml 8색,B,74,19,82,80
O2SBBC29009XXX,알리 버킷+BLACK,B,59,81,43,60
O1FBCB51009XXX,지지 크로스바디 BLACK,A,9,52,70,24
0081005,PET BED-White,A,95,56,89,77
O1SCPT02042066,CARGO PANTS - KHAKI 066,A,49,88,13,146
7118409000007,토킹피스 사과(그린),A,95,37,7,297
7118409000125,열매 스티커,C,17,75,1,158
Logo Hoody grey-S,로고 후드-그레이 컬러,B,87,43,8,263
O9SBCB81113XXX,로티새들크로스바디 DUSTY MAUVE XXX,A,68,5,81,139
IN-AS-001,인소의 법칙 아크릴 스탠드 A. 은지호,A,17,20,7,70
72SQ-021133,포인트앤뷰 스탠바이미  BLC 27인치,B,18,95,91,16
AB_DP_5CUP,드롭퍼_물통,C,45,16,12,21
900082,CB_코끼리,B,49,64,46,220
7613036957106,스타벅스 하우스 블렌드 10캡슐,A,11,52,99,109
8809653770481,에어퀸 브레스 소형 1팩 (팩피킹),C,63,48,64,61
