상품코드,상품명,ABC,단품가로(mm),단품세로(mm),단품높이(mm),중량(g)
 JRD_DOT2_AP ,도트마카북세트,B,98,39,35,298
RM204J007RD,아무르 크리스탈 넥크리스(레드) RED_F,C,82,8,15,154
0214-60,더퓨어로터스 발효에센스 하늘색 엽서,A,55,25,92,265
CMZ111431,긴바지네이비,C,84,70,63,258
O1FBSD52139XXX,지지 숄더 FOSSIL TAUPE,C,50,97,52,33
O8SSDV26009225,데이나 엠보 드라이빙슈즈 BLACK 225,B,54,15,52,176
CBR_10,칼라붓10,B,75,83,49,240
O9FBCB31123XXX,벤틀리 크로스바디 PARADISE XXX,A,31,33,99,188
PP204P0486PK,Giraffe friends 6pack for baby,C,36,24,68,295
O0SBCB22048XXX,모르간 크로스바디 CLOUD XXX,C,27,85,32,149
0161-012,"켄싱턴 마스터카톤 XL [22""~24""인치] ",C,37,85,21,130
COLOR_TRANS,색칠북_운송,A,50,21,22,208
0057-75,new 로고티 - 블랙,C,94,93,29,179
0159-006,모카 일반 스티커,A,37,1,77,255
O0SBSP37048XXX,줄리앙 쇼퍼 CLOUD XXX,C,44,55,87,260
O2SBSD61133XXX,스텔라 숄더_SAND BROWN,A,82,96,4,145
O1SBSD64118XXX,티라 숄더 TOFFEE TAN,B,86,17,20,121
7118409000125,열매 스티커,A,39,53,96,129
CMZ110786,고양이 창문 장난감,A,62,15,87,33
O0SBCB87048XXX,루빈 크로스바디 CLOUD XXX,B,48,33,67,69
O9SBCB81113XXX,로티새들크로스바디 DUSTY MAUVE XXX,C,91,39,70,196
72SQ-021144,포인트앤뷰 룸앤티비 BLC 27인치,A,23,52,95,233
7118409000026,토킹피스 불꽃,B,20,24,69,143
8809744190006,(1매)더블에스지 KF94 마스크,A,18,61,11,57
O2SBSP17009XXX,사나 쇼퍼_BLACK,A,6,65,44,138
O1SBCB27136XXX,알리 크로스바디 TANGERINE XXX,B,86,24,66,248
O1FBTT43009XXX,아멜리아 토트 BLACK,B,37,78,1,141
8000070020108,원두커피: 1. 라바짜 탑클래스,A,74,89,7,82
CMZ0076,접이식 욕조 (온도측정 노랑),B,39,64,86,13
O1SBSD49009XXX,나디아 숄더 BLACK XXX,A,44,69,62,245
O0FBTT22231XXX,케이티 미니토트DEEP GREENXXX,B,9,24,10,161
O8SCTS15009066,LONG SLV LEATHER PTCH TS BLACK 066,A,99,65,52,97
O0FCCT25009055,후드 벨티드 울 코드 BLACK 055,A,44,32,36,252
O9FBCB31117XXX,벤틀리 크로스바디 MIST XXX,A,81,96,64,193
O1FBCB01145XXX,캐리 크로스바디 WAVE BLUE,B,47,97,68,59
